question_id,category,correct_answer,small_prediction,small_correct,small_time,large_prediction,large_correct,large_time
0,math,A,A,True,0.10461445804685354,B,False,0.12062637484632432
1,math,H,A,False,0.05720162484794855,D,False,0.1296868750359863
2,math,E,A,False,0.04731500009074807,D,False,0.11062037502415478
3,math,I,A,False,0.07388275000266731,D,False,0.16789366700686514
4,math,B,B,True,0.06631775014102459,B,True,0.15179008292034268
5,health,J,J,True,0.03887841594405472,J,True,0.0869282919447869
6,health,G,I,False,0.057059792103245854,A,False,0.12774633383378386
7,health,F,B,False,0.05748220789246261,B,False,0.12787733389995992
8,health,F,B,False,0.06740379193797708,I,False,0.08842283301055431
9,health,D,A,False,0.04212737502530217,E,False,0.08811474987305701
10,physics,E,A,False,0.0559522919356823,A,False,0.12708200002089143
11,physics,A,A,True,0.09292537509463727,A,True,0.19161416706629097
12,physics,H,A,False,0.04646512493491173,A,False,0.11017187498509884
13,physics,E,A,False,0.03031991608440876,E,True,0.06656562490388751
14,physics,A,A,True,0.04748058319091797,A,True,0.11040545790456235
15,business,F,F,True,0.07523724995553493,F,True,0.16846208297647536
16,business,D,D,True,0.051360916811972857,D,True,0.08643633290193975
17,business,A,F,False,0.038004125002771616,A,True,0.08636966696940362
18,business,G,C,False,0.03872045804746449,C,False,0.08771470887586474
19,business,H,E,False,0.03825645800679922,A,False,0.08694450021721423
20,biology,B,A,False,0.04651983384974301,A,False,0.11027679196558893
21,biology,D,A,False,0.05690712505020201,B,False,0.128199583850801
22,biology,D,D,True,0.06599549995735288,D,True,0.15177912497892976
23,biology,A,A,True,0.03796670795418322,A,True,0.08604745799675584
24,biology,H,H,True,0.03816225007176399,H,True,0.08616466610692441
25,chemistry,B,A,False,0.038732459070160985,C,False,0.08775550010614097
26,chemistry,J,J,True,0.0973742501810193,H,False,0.19077016692608595
27,chemistry,E,D,False,0.03806937509216368,E,True,0.08614854188635945
28,chemistry,A,A,True,0.05637954198755324,B,False,0.13086949987336993
29,chemistry,J,B,False,0.07292783306911588,B,False,0.16810645791701972
30,computer science,B,A,False,0.09029708290472627,B,True,0.1698712909128517
31,computer science,I,A,False,0.05676045804284513,B,False,0.12771412497386336
32,computer science,C,C,True,0.03921320918016136,C,True,0.08812991599552333
33,computer science,I,I,True,0.0467543329577893,I,True,0.11063737492077053
34,computer science,A,A,True,0.05691037490032613,B,False,0.12771812500432134
35,economics,F,F,True,0.03887991700321436,F,True,0.08763554180040956
36,economics,H,A,False,0.04802620783448219,E,False,0.11135891592130065
37,economics,C,J,False,0.0822121249511838,B,False,0.1907052081078291
38,economics,G,G,True,0.03917212504893541,A,False,0.08736658305861056
39,economics,F,F,True,0.03822491690516472,B,False,0.0861954998690635
40,engineering,C,A,False,0.1504622499924153,B,False,0.11015870794653893
41,engineering,A,A,True,0.0560853339266032,B,False,0.12829962489195168
42,engineering,C,B,False,0.047654999885708094,C,True,0.11092066601850092
43,engineering,I,A,False,0.046761041041463614,B,False,0.11066708294674754
44,engineering,A,A,True,0.04723429190926254,B,False,0.11047395784407854
45,philosophy,B,A,False,0.046879292000085115,B,True,0.10969533305615187
46,philosophy,J,B,False,0.04724941705353558,B,False,0.10951716708950698
47,philosophy,B,B,True,0.038844041991978884,B,True,0.08649399993009865
48,philosophy,I,G,False,0.030424874974414706,G,False,0.06692308303900063
49,philosophy,D,D,True,0.038910457864403725,D,True,0.08669775002636015
50,other,E,B,False,0.03891420899890363,B,False,0.0878737079910934
51,other,B,A,False,0.038706667022779584,B,True,0.08653583284467459
52,other,B,J,False,0.04732116707600653,B,True,0.11091612512245774
53,other,J,J,True,0.04640116705559194,J,True,0.11345816706307232
54,other,J,J,True,0.03830887516960502,J,True,0.08611116698011756
55,history,A,B,False,0.17200920800678432,B,False,0.685555333038792
56,history,C,C,True,0.1477702499832958,C,True,0.33394566597416997
57,history,E,E,True,0.08970433403737843,E,True,0.21107020904310048
58,history,E,I,False,0.04834370804019272,H,False,0.11014295811764896
59,history,G,C,False,0.06622754107229412,C,False,0.15452983300201595
60,psychology,H,H,True,0.10454037482850254,H,True,0.08804100006818771
61,psychology,H,A,False,0.0884258330333978,A,False,0.1540621251333505
62,psychology,A,D,False,0.04693870898336172,A,True,0.12029691599309444
63,psychology,J,J,True,0.04643545811995864,J,True,0.11074483301490545
64,psychology,E,A,False,0.05513520888052881,E,True,0.08876525005325675
65,law,I,B,False,0.09689000016078353,B,False,0.1693097499664873
66,law,I,J,False,0.04078591684810817,D,False,0.08820245903916657
67,law,J,J,True,0.052539292024448514,J,True,0.08855145797133446
68,law,G,C,False,0.03129070904105902,E,False,0.06600974989123642
69,law,F,B,False,0.13159374985843897,E,False,0.2091136670205742
